               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048278,            0.013836,                   0,           2.045e-05,           0.0091556,           1.032e-05,          2.2903e-06,            0.046357,           0.0063462,                   0,             0.07008,           0.0033244,           0.0033244
                   1,            0.028672,           0.0099776,                   0,           0.0010893,             0.48728,          0.00085168,          0.00018139,            0.036559,           0.0057612,                   0,            0.040014,           0.0065919,           0.0065919
                   2,            0.025483,           0.0081182,                   0,            0.004287,             0.66836,            0.011797,            0.001872,            0.037571,           0.0051189,                   0,           0.0098822,           0.0097933,           0.0097933
                   3,            0.023239,           0.0070377,                   0,           0.0068823,             0.72838,            0.055068,             0.01008,            0.037907,           0.0048761,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.019588,           0.0049838,                   0,             0.27968,             0.37945,             0.16453,             0.02541,             0.03618,           0.0044403,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.017567,           0.0036101,                   0,             0.24138,             0.34995,             0.12146,            0.015868,            0.037728,           0.0039678,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.017673,           0.0027895,                   0,             0.47695,             0.65583,             0.37792,             0.10692,            0.033602,           0.0039089,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.01572,            0.002578,                   0,             0.47295,             0.55849,             0.35304,             0.10733,            0.033859,           0.0039595,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.015282,           0.0023846,                   0,              0.4297,             0.71007,              0.3688,             0.13907,            0.033044,           0.0044206,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.014492,           0.0022269,                   0,             0.45768,             0.63683,             0.37339,             0.13562,            0.032716,           0.0042701,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.01375,           0.0021393,                   0,             0.39319,              0.6531,             0.33213,             0.14455,             0.03067,           0.0047105,                   0,            0.009109,            0.009109,            0.009109
