               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058267,           0.0097466,                   0,             0.80554,             0.57181,             0.56026,             0.27879,            0.033612,           0.0056102,                   0,            0.070064,           0.0033262,           0.0033262
                   1,            0.039241,           0.0049047,                   0,             0.93646,             0.57676,             0.59303,             0.32831,            0.029753,           0.0051268,                   0,            0.039998,           0.0065936,           0.0065936
                   2,            0.036643,           0.0042749,                   0,             0.96606,             0.57465,             0.59608,             0.31847,            0.029801,            0.005589,                   0,           0.0098661,            0.009795,            0.009795
                   3,            0.033894,           0.0040208,                   0,             0.96006,             0.57105,             0.59146,              0.3342,            0.029459,           0.0051521,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.031676,           0.0038229,                   0,             0.98549,             0.58057,             0.60194,              0.3626,            0.028249,           0.0059314,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.030504,           0.0036039,                   0,             0.95394,             0.59124,             0.60134,             0.36113,            0.028529,           0.0050707,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.028419,           0.0034299,                   0,             0.97854,             0.58019,             0.59512,             0.35696,            0.029075,            0.005095,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.027763,           0.0032785,                   0,             0.99152,             0.58133,             0.60412,             0.36895,            0.029253,           0.0050984,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.02719,           0.0031616,                   0,             0.98767,             0.57995,             0.59822,             0.35843,            0.029992,           0.0051081,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.026695,           0.0030348,                   0,             0.95947,             0.57029,             0.58938,             0.34426,            0.030838,           0.0045232,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.026461,           0.0029146,                   0,             0.99552,             0.57562,             0.58841,             0.35374,            0.029804,            0.005357,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.02571,           0.0028176,                   0,             0.98015,             0.57371,             0.58722,             0.35317,            0.029853,           0.0046282,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.025243,           0.0027719,                   0,             0.97773,             0.57943,             0.59269,             0.35651,            0.029183,           0.0050995,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.02521,            0.002746,                   0,             0.99017,             0.57564,             0.60102,             0.35564,            0.029611,           0.0050549,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.024143,           0.0027117,                   0,             0.96911,             0.58629,              0.5972,             0.35233,             0.03055,           0.0049814,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.024779,           0.0026642,                   0,             0.98633,             0.57333,             0.58697,             0.35209,            0.030668,           0.0047047,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.024277,           0.0026021,                   0,             0.98819,             0.57383,             0.58696,             0.34122,            0.031449,           0.0054076,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.023606,           0.0025224,                   0,             0.97855,             0.58019,             0.59589,             0.35118,            0.030896,           0.0048235,                   0,            0.008416,            0.008416,            0.008416
                  18,              0.0248,           0.0026166,                   0,             0.98276,             0.58647,             0.59648,             0.34765,            0.031067,           0.0048216,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.023947,           0.0025505,                   0,             0.97896,             0.57867,             0.59025,             0.33734,            0.030287,             0.00514,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.023437,           0.0025276,                   0,             0.98626,             0.57421,             0.58257,             0.33296,             0.03038,           0.0057605,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.023136,            0.002494,                   0,             0.98861,             0.57752,             0.59121,               0.349,            0.029558,           0.0051692,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.023079,           0.0025371,                   0,             0.98926,             0.56876,             0.58703,              0.3421,            0.030683,           0.0049619,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.022609,           0.0024513,                   0,             0.98192,             0.57936,             0.59402,             0.34542,            0.029516,           0.0053987,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.022793,           0.0024736,                   0,             0.95647,             0.58438,             0.59287,             0.35019,            0.030916,           0.0048306,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.022754,           0.0024134,                   0,              0.9866,             0.58133,             0.59303,             0.34517,            0.030797,           0.0048699,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.023087,           0.0024329,                   0,             0.98326,             0.58164,              0.5959,             0.34078,             0.02939,           0.0052587,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.022322,           0.0024105,                   0,             0.98858,             0.58667,             0.59618,               0.347,             0.03095,           0.0050434,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.022822,           0.0024254,                   0,             0.98987,              0.5859,             0.59984,             0.34399,            0.030117,           0.0055052,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.022185,           0.0024309,                   0,             0.98722,             0.58875,             0.59898,             0.35424,            0.029931,           0.0051919,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.022385,           0.0024173,                   0,             0.98436,             0.58895,             0.59908,             0.35191,            0.029151,            0.005463,                   0,            0.007129,            0.007129,            0.007129
